,n,autodiff_mode,exp_type,error,time,log_error,log_time,exp_and_mode
165,3,rev,yield,802.1464142582788,6.071264161,2.9042536464648254,0.7832791294581543,yield_rev
166,3,rev,yield,566.6750372390466,6.441028795,2.7533340818348684,0.8089552406994064,yield_rev
167,3,rev,yield,556.7530828337926,6.528868348,2.7456626304730234,0.81483791131949,yield_rev
168,3,rev,yield,19.026384074687932,6.489447888,1.279356259352498,0.8122077492819222,yield_rev
169,3,rev,yield,255.17726709480652,6.320265306,2.406841981902429,0.800735309059832,yield_rev
170,3,rev,yield,557.8558922016939,6.518944088,2.7465220245566595,0.8141772561779068,yield_rev
171,3,rev,yield,270.4357887497507,6.281750325,2.4320641644442857,0.7980806708989037,yield_rev
172,3,rev,yield,606.7727203664303,6.635651073,2.7830260472949093,0.8218835411475602,yield_rev
173,3,rev,yield,23.897275968220878,6.479471929,1.3783483988814396,0.8115396127121781,yield_rev
174,3,rev,yield,487.9415013869931,6.359918214,2.688367758175479,0.8034515308312948,yield_rev
175,3,rev,yield,55.00519931698951,6.737346579,1.7404037427297983,0.8284888886731119,yield_rev
176,3,rev,yield,24.17392646130499,6.430193087,1.3833471966212798,0.8082240141932087,yield_rev
177,3,rev,yield,120.57900665636609,6.466202633,2.081271701776507,0.8106493100829701,yield_rev
178,3,rev,yield,437.3402226904696,6.14794465,2.640819421751888,0.7887299488882507,yield_rev
179,3,rev,yield,694.1029384567189,5.999279065,2.8414238829743765,0.7780990642329604,yield_rev
180,3,rev,yield,307.3574382747632,6.811645049,2.4876437278280985,0.8332520090385087,yield_rev
181,3,rev,yield,113.8330768847697,6.172951631,2.0562684748997495,0.7904928740071073,yield_rev
182,3,rev,yield,506.6551233522086,6.085770538,2.704712438643109,0.7843155733985704,yield_rev
183,3,rev,yield,30.26631820688934,6.20370801,1.4809595937453781,0.7926513486789626,yield_rev
184,3,rev,yield,224.99421523158838,6.677849984,2.352171352221156,0.8246366585259601,yield_rev
185,3,rev,yield,317.90857336745023,6.842878238,2.502302240138644,0.8352388122401835,yield_rev
186,3,rev,yield,16.279277983510816,6.627131306,1.2116351392060907,0.8213255755264078,yield_rev
187,3,rev,yield,228.27021295520242,6.61871369,2.3584492439773794,0.8207735949358446,yield_rev
188,3,rev,yield,44.75824638648789,7.172388845,1.6508730626733181,0.8556638264367254,yield_rev
189,3,rev,yield,18.96470866333745,6.435166544,1.2779461754397181,0.8085597910545836,yield_rev
190,3,rev,trap,645.0519761639441,23.112831554,2.8095947100643213,1.3638531541743626,trap_rev
191,3,rev,trap,1110.9842085642274,7.152740757,3.0457078859596276,0.8544724848173011,trap_rev
192,3,rev,trap,656.2018177704374,7.054080794,2.817037429107903,0.8484404295570772,trap_rev
193,3,rev,trap,282.7156538475093,8.158376583,2.451349855859094,0.9116037480691135,trap_rev
194,3,rev,trap,258.45580334726014,7.097932668,2.4123862882289773,0.8511318752518175,trap_rev
195,3,rev,trap,250.3637341019552,7.059000917,2.39857142030489,0.8487432383127419,trap_rev
196,3,rev,trap,732.5291351662723,8.973334162,2.8648249027330506,0.9529538409383701,trap_rev
197,3,rev,trap,525.7765009652375,9.804528474,2.7208011718631813,0.9914267121227185,trap_rev
198,3,rev,trap,469.7650537870861,12.162890917,2.671880706115638,1.0850368117855707,trap_rev
199,3,rev,trap,270.23042947653175,7.851800312,2.4317342514574967,0.8949692460350402,trap_rev
200,3,rev,trap,916.1731079505273,8.03285949,2.961977539961243,0.9048701703928393,trap_rev
201,3,rev,trap,706.4316057818342,7.404540654,2.8490701213588476,0.8694981219226218,trap_rev
202,3,rev,trap,308.4955802421247,7.24306627,2.4892489463588667,0.859922458770183,trap_rev
203,3,rev,trap,617.1041569989072,7.350173492,2.790358471962281,0.8662975902037886,trap_rev
204,3,rev,trap,589.0630364774936,7.471631091,2.770161771747184,0.873415420623236,trap_rev
205,3,rev,trap,622.0057702083391,7.173234613,2.7937944135622295,0.8557150354172025,trap_rev
206,3,rev,trap,788.4752765206526,7.057411229,2.896788080113886,0.8486454241199959,trap_rev
207,3,for,yield,441.0843661928277,1.559810607,2.6445216649048833,0.19307186929794282,yield_for
208,3,for,yield,218.16123043934257,1.418211807,2.3387775743812718,0.15174109667355087,yield_for
209,3,for,yield,13.676760856500046,1.383839106,1.1359832531795457,0.1410855991971166,yield_for
210,3,for,yield,129.56560412940848,1.534547706,2.112489724378595,0.18598039431916286,yield_for
211,3,for,yield,467.38575628198663,1.400134805,2.6696754730061576,0.14616985157051124,yield_for
212,3,for,yield,74.39729132403188,1.494123106,1.8715571239270532,0.1743863819866595,yield_for
213,3,for,yield,10.96126094968016,1.350241706,1.0398605169210131,0.13041151826243622,yield_for
214,3,for,yield,13.281599434126852,1.374354305,1.1232503780130765,0.13809870715636455,yield_for
215,3,for,yield,59.34297867530084,1.528677305,1.7733693416063674,0.18431581801620286,yield_for
216,3,for,yield,104.05355918793734,1.580205905,2.0172569399944957,0.19871368035884687,yield_for
217,3,for,yield,109.5493237975953,2.055991106,2.039609701185822,0.31302123161532147,yield_for
218,3,for,yield,87.77482520195414,1.456295505,1.943369973268094,0.16324950902186025,yield_for
219,3,for,yield,64.25796162532706,1.550778704,1.8079269448551931,0.19054982844634713,yield_for
220,3,for,yield,392.68467477048944,1.3955189,2.5940439524736694,0.144735722666373,yield_for
